"","TIME","TEMP","TEMP_INTERP","TEMP_HEAT_SPIKE","TEMP_COLD_SPIKE","TEMP_EXTREME_INDEX","TEMP_PER10","TEMP_PER50","TEMP_PER90","TEMP_MEAN","MHW_EVENT_NUMBER","MHW_EVENT_CAT","MCS_EVENT_NUMBER","MCS_EVENT_CAT","MHW_EVENT_DURATION","MHW_EVENT_ONSET_RATE","MHW_EVENT_DECLINE_RATE","MCS_EVENT_DURATION","MCS_EVENT_ONSET_RATE","MCS_EVENT_DECLINE_RATE","MHW_EVENT_INTENSITY_MEAN","MHW_EVENT_INTENSITY_MAX","MHW_EVENT_INTENSITY_VAR","MHW_EVENT_INTENSITY_CUMULATIVE","MHW_EVENT_INTENSITY_MEAN_RELPERC","MHW_EVENT_INTENSITY_MAX_RELPERC","MHW_EVENT_INTENSITY_VAR_RELPERC","MHW_EVENT_INTENSITY_CUMULATIVE_RELPERC","MCS_EVENT_INTENSITY_MEAN","MCS_EVENT_INTENSITY_MAX","MCS_EVENT_INTENSITY_VAR","MCS_EVENT_INTENSITY_CUMULATIVE","MCS_EVENT_INTENSITY_MEAN_RELPERC","MCS_EVENT_INTENSITY_MAX_RELPERC","MCS_EVENT_INTENSITY_VAR_RELPERC","MCS_EVENT_INTENSITY_CUMULATIVE_RELPERC"
"1",2010-05-11,21.7310333251953,21.7310333251953,21.7310333251953,NA,12,18.9161491394043,20.1711441040039,21.5768089294434,20.2040229797363,3,2,0,0,5,1.03299999237061,0.830999970436096,0,0,0,3.256,3.973,0.919,16.279,1.881,2.597,0.917,9.404,0,0,0,0,0,0,0,0
"2",2010-05-12,23.2611751556396,23.2611751556396,23.2611751556396,NA,12,18.889822769165,20.1307327270508,21.5380302429199,20.1677963256836,3,2,0,0,5,1.03299999237061,0.830999970436096,0,0,0,3.256,3.973,0.919,16.279,1.881,2.597,0.917,9.404,0,0,0,0,0,0,0,0
"3",2010-05-13,24.1062831878662,24.1062831878662,24.1062831878662,NA,12,18.8625701904297,20.093798828125,21.5095027923584,20.1331260681152,3,2,0,0,5,1.03299999237061,0.830999970436096,0,0,0,3.256,3.973,0.919,16.279,1.881,2.597,0.917,9.404,0,0,0,0,0,0,0,0
"4",2010-05-14,23.9908008575439,23.9908008575439,23.9908008575439,NA,12,18.8325061798096,20.0541557312012,21.4747116088867,20.0958641052246,3,2,0,0,5,1.03299999237061,0.830999970436096,0,0,0,3.256,3.973,0.919,16.279,1.881,2.597,0.917,9.404,0,0,0,0,0,0,0,0
"5",2010-05-15,23.8477439880371,23.8477439880371,23.8477439880371,NA,12,18.799702835083,20.0152618408203,21.4336673736572,20.0568214416504,3,2,0,0,5,1.03299999237061,0.830999970436096,0,0,0,3.256,3.973,0.919,16.279,1.881,2.597,0.917,9.404,0,0,0,0,0,0,0,0
"6",2010-05-22,22.676815032959,22.676815032959,22.676815032959,NA,12,18.5026000976562,19.7305801391602,21.1993053436279,19.7699810028076,4,2,0,0,10,2.90700006484985,0.172000005841255,0,0,0,2.096,2.907,0.419,20.957,0.649,1.478,0.427,6.487,0,0,0,0,0,0,0,0
"7",2010-05-23,NA,22.1558399200439,22.1558399200439,NA,12,18.4560001373291,19.685982131958,21.1629734039307,19.7275424957275,4,2,0,0,10,2.90700006484985,0.172000005841255,0,0,0,2.096,2.907,0.419,20.957,0.649,1.478,0.427,6.487,0,0,0,0,0,0,0,0
"8",2010-05-24,21.6348648071289,21.6348648071289,21.6348648071289,NA,12,18.4086410522461,19.6439903259277,21.1256134033203,19.6842517852783,4,2,0,0,10,2.90700006484985,0.172000005841255,0,0,0,2.096,2.907,0.419,20.957,0.649,1.478,0.427,6.487,0,0,0,0,0,0,0,0
"9",2010-05-25,21.6133689880371,21.6133689880371,21.6133689880371,NA,12,18.3598915100098,19.603150177002,21.0878616333008,19.6397796630859,4,2,0,0,10,2.90700006484985,0.172000005841255,0,0,0,2.096,2.907,0.419,20.957,0.649,1.478,0.427,6.487,0,0,0,0,0,0,0,0
"10",2010-05-26,22.0618991851807,22.0618991851807,22.0618991851807,NA,12,18.3106395721436,19.5631149291992,21.0372737884521,19.5899028778076,4,2,0,0,10,2.90700006484985,0.172000005841255,0,0,0,2.096,2.907,0.419,20.957,0.649,1.478,0.427,6.487,0,0,0,0,0,0,0,0
"11",2010-05-27,21.7989101409912,21.7989101409912,21.7989101409912,NA,12,18.2587711334229,19.5231010437012,20.985383605957,19.5367992401123,4,2,0,0,10,2.90700006484985,0.172000005841255,0,0,0,2.096,2.907,0.419,20.957,0.649,1.478,0.427,6.487,0,0,0,0,0,0,0,0
"12",2010-05-28,21.6372566223145,21.6372566223145,21.6372566223145,NA,12,18.208126449585,19.4792541503906,20.9345630645752,19.4833675384521,4,2,0,0,10,2.90700006484985,0.172000005841255,0,0,0,2.096,2.907,0.419,20.957,0.649,1.478,0.427,6.487,0,0,0,0,0,0,0,0
"13",2010-05-29,21.2113952636719,21.2113952636719,21.2113952636719,NA,12,18.1523082733154,19.4348808288574,20.8807758331299,19.4286636352539,4,2,0,0,10,2.90700006484985,0.172000005841255,0,0,0,2.096,2.907,0.419,20.957,0.649,1.478,0.427,6.487,0,0,0,0,0,0,0,0
"14",2010-05-30,20.9410572052002,20.9410572052002,20.9410572052002,NA,12,18.098246383667,19.3892993927002,20.8322685241699,19.374967956543,4,2,0,0,10,2.90700006484985,0.172000005841255,0,0,0,2.096,2.907,0.419,20.957,0.649,1.478,0.427,6.487,0,0,0,0,0,0,0,0
"15",2010-05-31,20.7821826934814,20.7821826934814,20.7821826934814,NA,12,18.0438503265381,19.3410438537598,20.7803447723389,19.3215030670166,4,2,0,0,10,2.90700006484985,0.172000005841255,0,0,0,2.096,2.907,0.419,20.957,0.649,1.478,0.427,6.487,0,0,0,0,0,0,0,0
"16",2011-04-07,23.1335926055908,23.1335926055908,23.1335926055908,NA,12,19.4730564117432,21.1937892913818,22.9111221313477,21.1635501861572,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"17",2011-04-08,24.5772724151611,24.5772724151611,24.5772724151611,NA,12,19.4820766448975,21.1892383575439,22.9094184875488,21.1638469696045,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"18",2011-04-09,25.3233776092529,25.3233776092529,25.3233776092529,NA,12,19.4874042510986,21.187638092041,22.8890518188477,21.1564998626709,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"19",2011-04-10,NA,24.3823261260986,24.3823261260986,NA,12,19.4854969024658,21.1787872314453,22.8682941436768,21.1454563140869,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"20",2011-04-11,23.4412746429443,23.4412746429443,23.4412746429443,NA,12,19.4840702056885,21.1617580413818,22.8382175445557,21.1293949127197,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"21",2011-04-12,23.2391338348389,23.2391338348389,23.2391338348389,NA,12,19.481628036499,21.1370765686035,22.8095100402832,21.1107086181641,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"22",2011-04-13,23.5220756530762,23.5220756530762,23.5220756530762,NA,12,19.4801391601562,21.1097503662109,22.7684173583984,21.087194442749,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"23",2011-04-14,23.7464008331299,23.7464008331299,23.7464008331299,NA,12,19.4721729278564,21.0779621124268,22.7305992126465,21.0631977081299,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
